STRUCNUM,Common_EN_List,Number_of_common_elements
06683A01WX00031,"(12, 107, 113, 152, 202, 205, 210, 215, 234, 300, 311, 313, 330, 515)",14
06683B01WX00046,"(12, 107, 113, 152, 202, 215, 300, 306, 311, 313, 330, 331, 515)",13
06683C01WX00042,"(16, 110, 205, 215, 234, 311, 330, 331, 515)",9
06683D01WX00044,"(16, 110, 205, 215, 234, 301, 311, 330, 331, 515)",10
06686C01WX00550,"(16, 110, 202, 216, 231, 306, 331, 510, 515)",9
06688A062 00331,"(215, 306, 330, 510, 515)",5
06698 000 00014,"(16, 110, 215, 330, 510, 515)",6
06701A712 00181,"(16, 110, 205, 215, 220, 306, 331, 510)",8
06713 009 02870,"(38, 205, 215, 225, 228, 234, 306, 310, 331, 510, 515)",11
06735A047C06257,"(12, 104, 109, 205, 215, 234, 300, 330, 510, 515)",10
06742 050Y00499,"(38, 205, 215, 234, 331, 510)",6
06751A440 02223,"(219, 225, 231, 306, 310, 330, 510, 515)",8
06757 000000000,"(12, 60, 107, 113, 120, 152, 162, 202, 205, 210, 215, 220, 301, 304, 311, 313, 330, 510, 515)",19
06757A609300000,"(12, 107, 113, 152, 202, 205, 220, 300, 301, 306, 311, 313, 330, 510, 515)",15
06757C609300000,"(16, 110, 155, 210, 215, 330, 510, 515)",8
06758 039Y04675,"(12, 107, 110, 113, 152, 202, 205, 216, 225, 228, 231, 234, 235, 306, 311, 313, 330, 510, 515)",19
06767 026 00099,"(12, 107, 113, 152, 205, 234, 300, 302, 311, 313, 331, 515)",12
06767A026 00098,"(16, 104, 113, 152, 215, 225, 234, 310, 330, 510, 515)",11
06784 001 08234,"(241,)",1
06785 001 08308,"(241,)",1
06787A001 09750,"(220, 240, 241, 515)",4
06788A001 09734,"(220, 240, 241, 515)",4
06789A001 09713,"(220, 240, 241, 515)",4
06790A001 09696,"(220, 240, 241, 515)",4
06791A001 09682,"(220, 240, 241, 515)",4
06792A001 09664,"(220, 240, 241, 515)",4
06793A001 09642,"(220, 240, 241, 515)",4
06794A001 09627,"(220, 240, 241, 515)",4
06795A001 09605,"(220, 240, 241, 515)",4
06806 162 06548,"(16, 110, 205, 215, 225, 234, 306, 331, 510)",9
06821A073 00002,"(16, 110, 210, 215, 306, 330, 331, 521)",8
06827A361 01125,"(210, 215, 306, 330, 510, 515)",6
06834A442 00570,"(216, 330, 510, 515)",4
06837 01W 12599,"(16, 110, 205, 215, 234, 306, 331, 510)",8
06886 004 24754,"(16, 110, 205, 215, 234, 306, 331, 510)",8
06895 01W 00167,"(38, 210, 215, 330, 510, 515)",6
06895R026 00002,"(38, 210, 215, 330, 515)",5
06896 01W 00161,"(38, 215, 330, 331, 510, 515)",6
06912 271 01186,"(241,)",1
06924 002 04027,"(38, 215, 330, 510)",4
06931A001 23501,"(241,)",1
06945 002 01782,"(38, 215, 306, 331, 515)",5
06945A002 01782,"(38, 215, 306, 331, 510)",5
06947A724 00113,"(12, 109, 205, 215, 234, 301, 302, 306, 310, 330, 515)",11
06967A002C01810,"(16, 104, 205, 215, 234, 310, 331, 510)",8
06979A008 03139,"(12, 105, 205, 234, 306, 330, 515, 521)",8
06980A047 06919,"(205, 215, 234, 306, 310, 330, 331, 510, 515)",9
06998 342 01591,"(241,)",1
06999 047 05445,"(240, 515)",2
06999A047 05445,"(215, 226, 234, 306, 331, 510)",6
069C05000006641,"(16, 110, 155, 205, 234, 311, 331, 510)",8
069C11057900740,"(12, 16, 107, 110, 205, 215, 220, 234, 304, 311, 313, 331, 515)",13
069C12067002710,"(12, 16, 109, 110, 205, 210, 215, 220, 310, 331)",10
069C13067002350,"(219, 225, 310, 330, 510, 515)",6
06C34 000 01929,"(215, 310, 330, 510, 515)",5
06C42A003200439,"(16, 109, 215, 225, 330, 510, 515)",7
07001 000 00033,"(16, 110, 205, 215, 220, 234, 306, 311, 330, 510, 515)",11
07016A000 00000,"(12, 16, 104, 109, 210, 215, 220, 302, 314, 331, 515)",11
07017 162 04984,"(12, 107, 113, 152, 205, 215, 220, 234, 301, 306, 311, 313, 330, 510, 515)",15
07019 01W 08421,"(16, 110, 205, 215, 220, 225, 234, 302, 306, 310, 311, 331, 510)",13
07020 009 25965,"(12, 16, 29, 107, 110, 113, 120, 152, 162, 205, 216, 220, 228, 234, 235, 302, 304, 306, 311, 313, 315, 330, 515)",23
07024A000 00135,"(16, 104, 205, 215, 234, 301, 306, 310, 331, 510)",10
07025 000000019,"(16, 110, 210, 215, 301, 306, 330, 331, 510, 515)",10
07025A000000019,"(16, 110, 205, 215, 234, 306, 310, 330, 510, 515)",10
07026 059 00191,"(12, 16, 107, 110, 210, 215, 233, 306, 311, 330, 331, 510, 515)",13
07026A059 00191,"(12, 104, 205, 215, 234, 301, 306, 310, 330, 510, 515)",11
07027A000000000,"(16, 110, 210, 215, 306, 331, 510)",7
07027B000000000,"(205, 215, 234, 306, 310, 331, 510)",7
07028A000000032,"(16, 110, 210, 215, 331, 510)",6
07028B000000032,"(205, 210, 215, 234, 306, 310, 331)",7
07029A000000110,"(16, 109, 205, 215, 234, 300, 310, 331, 510)",9
07030A000000015,"(16, 110, 210, 215, 306, 331, 510)",7
07030B000000015,"(104, 205, 215, 234, 302, 306, 310, 331, 510)",9
07031A068 00225,"(38, 205, 215, 234, 306, 310, 330, 331, 510, 515)",10
07032A002 00355,"(38, 215, 331, 510)",4
07034C000000055,"(38, 110, 155, 205, 215, 311, 330, 515)",8
07034D000000055,"(16, 110, 205, 215, 234, 306, 310, 330, 510, 515)",10
07035B000000000,"(16, 110, 205, 215, 234, 306, 330, 510, 515)",9
07035C000000000,"(38, 205, 215, 234, 301, 302, 306, 310, 330, 510, 515)",11
07036 002C00132,"(16, 110, 205, 215, 225, 234, 302, 311, 331, 510)",10
07039 000 00437,"(12, 107, 113, 152, 202, 205, 215, 220, 301, 303, 306, 311, 313, 330, 510, 515)",16
07040 01EX00020,"(12, 107, 113, 152, 202, 205, 215, 306, 331, 510, 515)",11
07042B000000000,"(205, 215, 234, 306, 310, 331, 510)",7
07043A002 01008,"(12, 109, 205, 215, 234, 301, 302, 310, 331)",9
07044A002 01143,"(16, 105, 205, 215, 234, 301, 306, 330, 331, 515)",10
07046 002 01737,"(110, 205, 215, 234, 306, 330, 510, 515)",8
07046A002 01737,"(16, 110, 205, 215, 234, 330, 510, 515)",8
07053 048 04502,"(241,)",1
07054A048 04512,"(241,)",1
07071 450Y02048,"(241, 330, 515)",3
07073 016 01356,"(16, 110, 205, 234, 306, 330, 510, 515)",8
07074 053 11558,"(38, 210, 215, 331, 510)",5
07079 000700079,"(219, 228, 306, 310, 330, 510, 515)",7
07088A002 01213,"(16, 104, 155, 215, 300, 306, 310, 330, 331, 515)",10
07089A002 01303,"(12, 109, 215, 306, 331)",5
07108A125 02193,"(16, 110, 215, 220, 306, 311, 313, 330, 510, 515)",10
07115 01WX00106,"(16, 110, 205, 215, 234, 301, 306, 311, 330, 331, 510, 515)",12
07147 009 06798,"(16, 38, 110, 205, 215, 220, 227, 234, 302, 306, 330, 510, 515)",13
07164 01E 01386,"(16, 110, 205, 215, 306, 311, 334, 510)",8
07176 241 00373,"(12, 16, 29, 107, 110, 113, 120, 152, 162, 205, 215, 220, 234, 301, 304, 306, 311, 313, 330, 515, 521)",21
07181 009 07118,"(38, 215, 227, 234, 306, 330, 510, 515)",8
07206 01WX00100,"(16, 110, 205, 215, 234, 304, 311, 331, 510, 515)",10
07214A01W 12398,"(12, 16, 105, 107, 110, 155, 205, 215, 234, 306, 310, 311, 313, 331, 510, 515)",16
07224 009 06636,"(38, 215, 227, 234, 306, 330, 510, 515)",8
07226 009 02953,"(16, 110, 205, 215, 220, 228, 234, 306, 510)",9
07253B030 02595,"(12, 16, 38, 105, 107, 110, 113, 116, 152, 155, 205, 215, 220, 234, 306, 311, 313, 330, 331, 510, 515)",21
07253R030C02582,"(16, 110, 116, 155, 205, 215, 234, 306, 311, 330, 331, 510, 515)",13
07257 006000040,"(110, 205, 330, 510, 515)",5
07271 200 02549,"(16, 110, 205, 215, 234, 306, 331, 510)",8
07282 380 00011,"(16, 110, 215, 330, 510, 515)",6
07291C006 28438,"(38, 306, 331)",3
07291D006 28438,"(38, 306, 331)",3
07292A006 28584,"(12, 109, 205, 215, 234, 306, 310, 510, 521)",9
07292B006 28584,"(110, 205, 215, 234, 301, 306, 331, 510, 521)",9
07293 066 03286,"(110, 205, 215, 234, 331, 510)",6
07293A006 28619,"(12, 109, 215, 301, 331, 510, 521)",7
07293B006 28619,"(12, 109, 215, 306, 331, 510, 521)",7
07295 162 04769,"(16, 110, 116, 155, 205, 215, 220, 234, 330, 510, 515)",11
07297 01EX00487,"(38, 215, 331, 510)",4
07298 01EX00446,"(38, 215, 331, 510)",4
07321 01W 08261,"(16, 110, 202, 205, 215, 225, 234, 306, 330, 510, 515)",11
07324 001 09851,"(16, 38, 110, 205, 215, 225, 234, 306, 331, 510)",10
07327 580000085,"(38, 215, 331, 510)",4
07333 001 30838,"(12, 16, 110, 113, 120, 152, 162, 205, 210, 215, 234, 311, 313, 330, 331, 510, 515)",17
07347 162 02328,"(16, 38, 110, 144, 155, 205, 215, 220, 234, 300, 302, 306, 310, 311, 330, 331, 510, 515)",18
07362 271 00606,"(241,)",1
07366 030C02562,"(16, 110, 205, 215, 225, 306, 331, 510)",8
07367A054 00684,"(12, 109, 110, 205, 215, 234, 306, 311, 313, 330, 510, 515)",12
07368 036 00119,"(110, 205, 215, 234, 306, 311, 313)",7
07369 002 19762,"(38, 215)",2
07372 041 06254,"(110, 205, 215, 330, 331, 510, 515)",7
07392 002 06962,"(110, 205, 215, 234, 306, 330, 331, 510, 515)",9
07397 292 00022,"(16, 110, 205, 215, 234, 302, 311, 330, 510, 515)",10
07400A01EX00575,"(38, 205, 215, 234, 306, 331)",6
07403A002 04610,"(12, 110, 205, 215, 234, 306, 331, 510)",8
07403B002F04606,"(38, 205, 215, 234, 331, 510)",6
07404 001 12454,"(12, 109, 113, 120, 152, 162, 205, 215, 220, 234, 301, 306, 310, 311, 313, 331, 515)",17
07404A001 12454,"(12, 109, 113, 120, 152, 162, 205, 215, 220, 234, 301, 306, 311, 313, 331, 515)",16
07405 009 03062,"(16, 110, 205, 215, 234, 306, 510)",7
07406 501 00022,"(16, 110, 205, 215, 234, 330, 510, 515)",8
07417 02W 08252,"(110, 152, 205, 215, 228, 234, 330, 510)",8
07418 02W 08284,"(110, 205, 215, 306, 331)",5
07424 009 06294,"(38, 110, 205, 215, 220, 225, 228, 234, 306, 311, 331, 510)",12
07425 009 06267,"(12, 110, 216, 225, 228, 231, 235, 306, 331, 510, 515)",11
07426 009 06240,"(12, 110, 216, 228, 235, 306, 331, 510)",8
07442 001 25032,"(110, 155, 205, 215, 330, 331, 510)",7
07456 009 06284,"(12, 110, 216, 228, 235, 306, 331, 510)",8
07458 002F06398,"(12, 38, 110, 154, 205, 215, 234, 302, 310, 311, 331)",11
07459 002F06392,"(110, 205, 215, 234, 302, 331, 510, 521)",8
07470B045 05695,"(12, 104, 205, 215, 234, 314, 330, 515)",8
07470C045 05674,"(12, 109, 215, 306, 331, 510)",6
07471A045 05655,"(12, 104, 155, 210, 215, 225, 234, 302, 306, 311, 314, 331)",12
07471B045 05638,"(12, 109, 210, 215, 225, 306, 310, 331, 510)",9
07480 009 06225,"(38, 205, 215, 225, 228, 234, 331, 510)",8
07481 009 06207,"(38, 215, 225, 228, 234, 331, 510)",7
07486 041 06171,"(16, 110, 205, 215, 330, 331, 510)",7
07487 041 06322,"(16, 110, 205, 215, 330, 331, 510)",7
07489 041 06503,"(16, 110, 205, 215, 330, 331, 510)",7
07493 009 22943,"(241, 331)",2
07494B001 28938,"(38, 215, 226, 234, 306, 331, 510)",7
07494C001 28938,"(38, 215, 226, 234, 306, 331, 510)",7
07496 002 06302,"(12, 110, 205, 215, 234, 306, 331, 510)",8
07496A002 06302,"(12, 110, 205, 215, 234, 306, 331, 510)",8
07498A002 01339,"(12, 109, 215, 306, 331)",5
07507A041F05749,"(215, 310, 330, 515)",4
07508A234 00010,"(16, 105, 205, 215, 234, 302, 310, 331)",8
07514 009 31140,"(12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 234, 301, 306, 311, 313, 331, 515)",17
07519 02W 06121,"(16, 110, 205, 215, 220, 234, 306, 330, 510, 515)",10
07520A002 14860,"(12, 109, 205, 215, 306, 311, 313, 331, 510)",9
07524B001 24938,"(16, 110, 202, 205, 215, 231, 234, 306, 331, 521)",10
07525A000G00000,"(110, 215, 226, 234, 310, 331)",6
07530 033 00323,"(12, 110, 215, 225, 234, 306, 330, 510, 515)",9
07532 033 00419,"(12, 110, 215, 225, 234, 306, 330, 510, 515)",9
07533 033 00447,"(12, 110, 215, 225, 234, 306, 330, 510, 515)",9
07534 033 00536,"(16, 110, 215, 225, 234, 306, 330, 510, 515)",9
07549 001C14218,"(16, 110, 205, 215, 306, 331)",6
07550 002 08078,"(38, 110, 205, 215, 234, 331, 510)",7
07552A002 07662,"(38, 205, 215, 234, 331, 510)",6
07553 002 08189,"(110, 205, 215, 234, 331, 510)",6
07562A001 13911,"(12, 109, 210, 215, 306, 310, 330, 515)",8
07567A001 15603,"(38, 205, 215, 220, 234, 306, 331, 510)",8
07567B001 15603,"(16, 110, 155, 205, 215, 220, 234, 306, 331, 510)",10
07569A001 16206,"(16, 110, 205, 215, 228, 234, 306, 331, 510)",9
07572A001 15649,"(16, 110, 205, 215, 220, 234, 331, 510)",8
07573 010 05411,"(110, 205, 215, 331, 510)",5
07575A001 28742,"(12, 107, 202, 205, 215, 311, 330, 515)",8
07579A141 01284,"(38, 104, 155, 205, 210, 215, 234, 301, 306, 310, 311, 314, 330, 510, 515, 521)",16
07582A001C28950,"(104, 155, 205, 215, 234, 302, 312, 330, 515)",9
07584A001 16445,"(38, 205, 215, 234, 301, 331, 510)",7
07586A001 28898,"(12, 107, 202, 205, 215, 302, 311, 330, 515)",9
07587A001 15665,"(16, 110, 205, 215, 234, 306, 331)",7
07594A001 15928,"(38, 205, 215, 225, 234, 331, 510)",7
07595 001 15835,"(38, 206, 215, 225, 234, 331)",6
07596 001 04308,"(38, 215, 331, 510)",4
07601B271Y00307,"(16, 110, 205, 215, 234, 306, 331, 510, 521)",9
07615 01W 06201,"(38, 215, 225, 228, 234, 331, 510)",7
07616 01W 06287,"(12, 110, 216, 225, 228, 235, 306, 331, 510)",9
07624A001 28259,"(16, 38, 104, 205, 210, 215, 234, 302, 306, 311, 330)",11
07624B001 28217,"(16, 105, 205, 215, 234, 302, 310, 331)",8
07626A292 00019,"(110, 161, 205, 215, 234, 306, 330, 510, 515)",9
07627A001 13325,"(38, 205, 215, 234, 306, 331, 510)",7
07627B001 13325,"(38, 205, 215, 234, 306, 331, 510)",7
07629A001 13200,"(38, 205, 215, 234, 306, 331, 510)",7
07639A001 15181,"(16, 110, 205, 215, 220, 234, 306, 331)",8
07640 001 15079,"(16, 110, 205, 215, 234, 306, 331, 510)",8
07640A001 15079,"(16, 110, 205, 210, 234, 306, 331)",7
07641 236 00768,"(16, 110, 205, 331, 510)",5
07642 236 00783,"(16, 110, 155, 205, 215, 234, 306, 330, 331, 510, 515)",11
07643 001 14939,"(16, 110, 205, 215, 234, 331)",6
07644A001 14821,"(16, 110, 205, 215, 234, 306, 331, 510)",8
07650A041 03908,"(12, 109, 215, 306, 310, 330, 331, 510)",8
07651A041 03943,"(12, 109, 215, 306, 310, 330, 331, 510)",8
07657 01E 02726,"(16, 110, 205, 215, 306, 331, 510)",7
07663A001 12892,"(12, 16, 109, 110, 113, 120, 152, 162, 205, 215, 220, 234, 306, 310, 311, 313, 331, 510, 515, 521)",20
07663C001 12892,"(12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 300, 301, 306, 311, 313, 331, 510, 515, 521)",20
07667 001 12508,"(16, 110, 205, 215, 234, 306, 330, 510, 515)",9
07668A001 12422,"(16, 105, 205, 215, 234, 331, 510)",7
07668B001C12424,"(16, 105, 205, 215, 234, 331)",6
07669A001 12415,"(16, 105, 205, 215, 234, 331, 521)",7
07670A001 12301,"(16, 38, 110, 205, 210, 215, 234, 301, 331, 510, 521)",11
07677 037 04234,"(16, 110, 205, 215, 220, 225, 306, 330, 510)",9
07683 037 04800,"(16, 110, 216, 228, 231, 235, 306, 330, 510, 515)",10
07684 037 04835,"(38, 215, 228, 234, 306, 330, 331, 510, 515)",9
07685 037 04857,"(16, 110, 216, 219, 228, 235, 306, 330, 331, 510)",10
07686 037 04968,"(16, 110, 205, 234, 306, 330, 331, 510, 515)",9
07694 840 00580,"(16, 110, 205, 330, 515)",5
07695A001 28488,"(12, 38, 107, 161, 202, 205, 210, 215, 302, 306, 311, 313, 330, 515)",14
07696A015 01010,"(12, 110, 205, 215, 331, 510)",6
07715 02W 06082,"(16, 110, 205, 215, 228, 306, 331, 510)",8
07718 001 13228,"(241,)",1
07720 009 31302,"(16, 110, 215, 225, 231, 306, 330, 331, 510, 515)",10
07722 02W 05529,"(16, 110, 155, 205, 306, 330, 331, 510, 515)",9
07726A001C29342,"(104, 205, 215, 234, 306, 310, 330, 510, 515)",9
07727A001 29181,"(104, 205, 215, 234, 306, 312, 330)",7
07728A001C29130,"(38, 104, 155, 205, 210, 215, 234, 302, 306, 310, 330, 510)",12
07729A001 29048,"(16, 105, 205, 215, 234, 301, 306, 310, 331, 510)",10
07731AE08 00125,"(215, 226, 234, 306, 310, 330, 510)",7
07735A001 18643,"(16, 38, 109, 110, 205, 215, 234, 306, 310, 330, 510, 515)",12
07736A001 18546,"(16, 110, 205, 215, 220, 225, 234, 306, 331)",9
07737A001 18424,"(16, 38, 110, 155, 205, 210, 215, 234, 306, 331, 510)",11
07738A001 18304,"(16, 110, 155, 205, 234, 306, 331, 510)",8
07738C001F18318,"(16, 110, 155, 205, 306, 331)",6
07738D001 18304,"(16, 110, 205, 234, 301, 331)",6
07740A001 18263,"(16, 110, 155, 205, 234, 306, 331, 510)",8
07740B001 18263,"(16, 110, 155, 205, 234, 301, 331, 510)",8
07740C001 18263,"(16, 110, 205, 234, 301, 306, 331, 510)",8
07741A001 18206,"(16, 38, 110, 155, 205, 210, 215, 234, 306, 330, 331, 510, 515)",13
07743B001 18049,"(16, 110, 205, 234, 306, 331, 510)",7
07747 8T2 00027,"(16, 110, 205, 215, 220, 225, 234, 330, 515)",9
07751 067 00533,"(110, 155, 205, 234, 330, 331, 510, 515)",8
07758C01W 00740,"(12, 109, 110, 205, 210, 215, 234, 300, 306, 310, 330, 515)",12
07758D01WC00788,"(12, 16, 107, 110, 205, 210, 215, 234, 300, 306, 311, 313, 331, 515)",14
07759A702 00072,"(12, 107, 215, 306, 311, 313, 330, 510, 515)",9
07769A072 00846,"(12, 109, 110, 205, 210, 215, 306, 310, 331, 510)",10
07770 162C00191,"(16, 105, 205, 215, 234, 306, 330, 510, 515)",9
07771 002 08883,"(38, 215, 330, 331, 510, 515)",6
07776 001 03664,"(16, 110, 205, 215, 306, 310, 331, 510)",8
07779 037 05146,"(16, 110, 205, 215, 225, 228, 306, 331, 510)",9
07780A009 30372,"(12, 38, 109, 205, 215, 233, 306, 310, 331)",9
07786 009F30702,"(16, 110, 155, 205, 306, 331, 510)",7
07787 009 30779,"(16, 110, 155, 205, 215, 225, 306, 331, 510)",9
07793A001 17789,"(16, 110, 205, 306, 331, 510)",6
07795A001 28067,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07795B001 28067,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07796A001 27867,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07796B001 27867,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07797A001 27736,"(16, 104, 205, 215, 310, 330, 510)",7
07799A001 27640,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07799B001 27640,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07800A001 27469,"(16, 38, 104, 205, 210, 215, 234, 306, 310, 330, 510)",11
07801A001 27321,"(16, 38, 104, 205, 210, 215, 306, 310, 330, 510)",10
07802A140 03680,"(12, 16, 104, 109, 205, 215, 306, 331, 510)",9
07803A001 27047,"(12, 107, 152, 161, 205, 215, 302, 303, 310, 330, 515)",11
07804N001 12003,"(38, 205, 215, 225, 234, 306, 331, 510)",8
07813 789 00334,"(241, 330, 515)",3
07815 751 00155,"(241, 332)",2
07816 751 00129,"(241, 332)",2
07817 162 04289,"(16, 110, 205, 215, 220, 234, 306, 330, 510, 515)",10
07818 000 00001,"(16, 110, 215, 306, 331, 510)",6
07820 992 02131,"(16, 110, 215, 306, 331, 510)",6
07821 992 02092,"(16, 110, 215, 331, 510)",5
07824 001 11918,"(16, 110, 205, 215, 306, 331, 510)",7
07828A001 17584,"(16, 110, 155, 205, 306, 331, 510)",7
07828B001 17584,"(16, 110, 155, 205, 306, 331, 510)",7
07830 001 17441,"(16, 110, 205, 215, 234, 306, 331, 510, 521)",9
07830A001 17441,"(16, 110, 205, 215, 234, 306, 331, 510)",8
07832 001 17475,"(16, 110, 205, 215, 234, 306, 330, 515, 521)",9
07833A001 17474,"(38, 205, 215, 234, 306, 331, 510)",7
07833B001 17474,"(38, 205, 215, 234, 306, 331, 510)",7
07839 001 11344,"(16, 110, 155, 205, 215, 234, 306, 331, 510)",9
07839A001 11344,"(38, 205, 215, 234, 306, 331, 510)",7
07841A001 11257,"(12, 109, 113, 120, 152, 162, 205, 215, 234, 301, 306, 310, 311, 313, 331, 510, 515, 521)",18
07845 007 25177,"(241,)",1
07846 007 25218,"(241,)",1
07847A001 26881,"(12, 16, 104, 109, 205, 215, 302, 310, 330)",9
07848A001 26755,"(12, 16, 104, 109, 205, 215, 306, 330)",8
07849A001 26654,"(12, 16, 38, 104, 109, 205, 210, 215, 302, 306, 310, 330)",12
07850A001 26525,"(12, 16, 104, 109, 205, 215, 306, 330)",8
07851A001C26349,"(12, 16, 104, 109, 205, 215, 330, 515, 521)",9
07852A001 26241,"(12, 16, 38, 104, 109, 205, 210, 215, 302, 306, 310, 330)",12
07853A001 26190,"(12, 16, 104, 109, 205, 215, 306, 330)",8
07854C001 25910,"(12, 109, 205, 215, 220, 234, 306, 310, 331)",9
07855B001C26020,"(12, 38, 107, 152, 205, 210, 215, 300, 301, 306, 310, 330, 515, 521)",14
07855C001 25995,"(16, 104, 205, 215, 306, 310, 331, 510)",8
07855D001 25995,"(16, 104, 205, 215, 306, 310, 331, 510)",8
07855E001C25997,"(16, 104, 105, 210, 215, 300, 306, 315, 330, 515)",10
07861A001 16958,"(16, 110, 205, 306, 331, 510)",6
07862A001 16925,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
07864A001 17384,"(16, 110, 205, 215, 234, 301, 306, 331, 510)",9
07865A001 17340,"(16, 110, 205, 215, 234, 301, 306, 331, 510)",9
07867A171 00520,"(205, 215, 234, 301, 306, 310, 331)",7
07880 222 00541,"(110, 216, 225, 228, 231, 306, 331, 521)",8
07881 857 00037,"(16, 110, 205, 220, 306, 331, 510)",7
07883 691 00777,"(16, 110, 215, 220, 306, 311, 313, 331, 510, 515)",10
07890 222 00564,"(16, 110, 216, 219, 225, 228, 231, 306, 331, 515, 521)",11
07892A411 00068,"(16, 110, 155, 205, 215, 220, 311, 331)",8
07894 018 03324,"(12, 16, 107, 110, 113, 152, 205, 210, 215, 234, 300, 311, 313, 330, 510, 515, 521)",17
07895 240001497,"(16, 110, 205, 215, 220, 311, 331, 510)",8
07896 240001190,"(16, 110, 205, 215, 220, 225, 234, 331, 510)",9
07904 073 02226,"(12, 16, 110, 113, 205, 210, 215, 220, 225, 231, 301, 330, 510, 515)",14
07909 722 00033,"(241,)",1
07910 541 00061,"(241, 330, 332, 510, 515)",5
07918 351 00652,"(110, 215, 331, 510)",4
07935A006 37407,"(12, 109, 210, 215, 306, 310, 331, 510)",8
07935B006 37408,"(12, 109, 210, 215, 306, 310, 331, 510)",8
07936A006 37048,"(241,)",1
07939A001 24710,"(12, 16, 104, 109, 210, 215, 302, 310, 330)",9
07940 001F24519,"(241,)",1
07941 164 00025,"(16, 110, 205, 215, 234, 306, 330, 510, 515)",9
07949A009 00000,"(12, 107, 113, 120, 152, 162, 205, 234, 301, 311, 313, 331, 515)",13
07949B009 00028,"(12, 109, 226, 234, 301, 302, 310, 311, 331, 515)",10
07949C009 00241,"(12, 113, 120, 152, 161, 162, 202, 205, 220, 301, 306, 313, 331, 515)",14
07949D009 00000,"(12, 107, 215, 301, 311, 313, 331, 515)",8
07949E00900254,"(12, 107, 113, 120, 152, 162, 202, 205, 210, 220, 234, 301, 302, 304, 311, 313, 331, 515)",18
07949F00900341,"(12, 16, 105, 109, 110, 113, 120, 152, 162, 205, 210, 215, 234, 301, 306, 310, 311, 313, 331, 515, 521)",21
07950 001 10831,"(16, 110, 205, 210, 215, 220, 234, 306, 331, 510)",10
07952A001 10752,"(16, 110, 205, 215, 234, 306, 310, 331, 510)",9
07954 001C10678,"(16, 110, 205, 215, 234, 306, 331, 510)",8
07956 006 37308,"(110, 205, 215, 234, 306, 331, 510)",7
07964 162 04033,"(38, 110, 205, 215, 220, 234, 306, 331, 510)",9
07965A162 04047,"(38, 210, 215, 306, 331, 510)",6
07970 006C37145,"(110, 205, 215, 331, 510)",5
07971A006 37218,"(12, 109, 205, 215, 234, 306, 310, 331, 510)",9
07979A006 36999,"(215, 234, 306, 331, 510)",5
07979B006 36999,"(215, 234, 306, 331, 510)",5
07981A002 00182,"(16, 38, 104, 110, 215, 310, 331, 510)",8
07987 006 32531,"(107, 110, 161, 205, 215, 234, 306, 311, 313, 331, 510, 515, 521)",13
07987A006 32534,"(107, 110, 161, 205, 215, 234, 306, 311, 313, 331, 510, 515, 521)",13
07991 971 00003,"(38, 205, 215, 220, 225, 234, 306, 311, 331, 510, 515)",11
07997 821 00969,"(16, 110, 205, 331, 510)",5
07998 821 00927,"(220, 241, 330, 510, 515)",5
07999 068 00226,"(12, 16, 105, 107, 110, 205, 215, 234, 306, 311, 313, 330, 510, 515)",14
07999C068 00243,"(16, 38, 110, 205, 215, 234, 306, 310, 331, 510)",10
07C022991500001,"(12, 107, 117, 152, 210, 215, 304, 311, 313, 332, 515)",11
07C03 080900479,"(12, 109, 110, 205, 215, 234, 301, 310, 331, 510)",10
07C04 031400065,"(104, 215, 310, 330, 510, 515)",6
07C05 090400070,"(225, 228)",2
07C07 130400020,"(31, 111, 219, 225, 231, 332)",6
07C08 151600018,"(215, 310, 330, 510, 515)",5
07C09 151200002,"(215, 310, 330, 510, 515)",5
07C11 000 00000,"(12, 144, 155, 210, 215, 220, 228, 331, 510)",9
07C13 041700010,"(110, 205, 215, 331, 510)",5
07C21A101 00259,"(215, 306, 310, 330, 510, 515)",6
07C22 120 00436,"(31, 111, 210, 215, 330, 510, 515)",7
07T02 000000140,"(12, 111, 205, 206, 215, 234, 235, 330, 515)",9
07T05 000000265,"(241, 330, 510, 515)",4
07T06 000 00000,"(241, 330, 510, 515)",4
07T10 000 00030,"(215, 228, 306, 332, 510)",5
07T12A000000000,"(215, 306, 310, 510)",4
07T15A000 00084,"(215, 306, 310, 510)",4
07T17 000 00000,"(241,)",1
07T19 000 00000,"(241, 510)",2
07T22A000 00122,"(215, 306, 310, 510)",4
07T23A000 00129,"(215, 306, 333, 510)",4
07T24 000 00086,"(110, 116, 155, 215, 306, 330, 510, 515)",8
07T32 000 00000,"(215, 306, 310, 510)",4
07T33 000000000,"(31, 104, 111, 202, 206, 216, 219, 234, 235, 304, 306, 310, 331, 332, 510, 515)",16
08002 774 00209,"(16, 110, 205, 330, 331, 510, 515)",7
08003 039 05157,"(12, 107, 110, 161, 205, 215, 220, 234, 301, 310, 313, 515)",12
