STRUCNUM,Common_EN_List,Number_of_common_elements
039C26270001410,"(38, 215, 306, 310, 330, 510, 515)",7
039C35622700004,"(12, 109, 205, 215, 234, 301, 306, 310, 331, 510)",10
039C47612000282,"(38, 210, 215, 306, 310, 331, 510)",7
039C48612000451,"(38, 215, 306, 330, 510, 515)",6
039C49612000537,"(38, 210, 215, 220, 306, 310, 330, 510, 515)",9
039C50427000145,"(38, 219, 225, 231, 306, 310, 330, 510, 515)",9
039C51427000185,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
039C52427000331,"(38, 215, 306, 310, 330, 510, 515)",7
039C53427000501,"(38, 215, 306, 310, 330, 510, 515)",7
03C04 000 00000,"(38, 215, 306, 310, 330, 510)",6
03C05 000,"(38, 215, 226, 331, 510)",5
03C06 000,"(38, 216, 228, 306, 330, 510, 515)",7
03C08 000 00000,"(54, 216, 225, 228, 241, 306, 332, 510)",8
03C11A000000000,"(38, 215, 306, 310, 330, 510, 515)",7
03C12 000,"(31, 111, 216, 228, 235, 306, 330, 510, 515)",9
03C13A000 00000,"(38, 215, 306, 310, 330, 510, 515)",7
03C14A000 00000,"(38, 215, 306, 310, 330, 510, 515)",7
03C15 000,"(31, 111, 205, 216, 220, 306, 330, 510, 515)",9
03C155000000004,"(240, 515)",2
03C18 000,"(241, 330, 515)",3
03C19 000,"(31, 111, 216, 225, 228, 235, 306, 330, 510, 515)",10
03C21 000 00010,"(31, 111, 215, 216, 220, 306, 330, 510, 515)",9
03C23 000 00090,"(31, 111, 216, 228, 306, 330, 510, 515)",8
03C26 000,"(38, 215, 306, 310, 330, 510)",6
03C264400000000,"(220, 240, 515)",3
03C27 000000000,"(54, 202, 216, 228, 235, 306, 332, 510)",8
04006A062 00927,"(38, 215, 306, 331, 510)",5
04019A229 01224,"(38, 215, 306, 330, 510, 515)",6
04025A229 02138,"(16, 110, 205, 215, 220, 306, 331, 510)",8
04029 229 02609,"(16, 110, 216, 219, 225, 228, 306, 331, 510)",9
04031A229 02819,"(16, 110, 216, 219, 228, 306, 331, 510, 515)",9
04037 200 00459,"(38, 219, 225, 228, 231, 306, 331, 510, 515)",9
04040 200 00543,"(16, 110, 216, 219, 225, 228, 306, 331, 510)",9
04042 200 00706,"(38, 215, 225, 228, 234, 306, 331, 510)",8
04043 200 00714,"(38, 215, 228, 306, 331, 510)",6
04050A200 01872,"(38, 215, 225, 234, 306, 330, 510, 515)",8
04057A200 03219,"(38, 215, 306, 310, 330, 510, 515)",7
04058A200 03224,"(38, 215, 306, 310, 330, 510, 515)",7
04059 200 03793,"(16, 110, 155, 215, 225, 228, 231, 306, 331, 510, 515)",11
04063 200 04085,"(16, 110, 216, 219, 225, 228, 306, 331, 510)",9
04068A514001000,"(38, 219, 225, 231, 306, 310, 330, 510, 515)",9
04075A062T04237,"(38, 205, 215, 220, 306, 330, 510, 515)",8
04076B062 04099,"(12, 109, 215, 306, 331)",5
04079A062 03740,"(243,)",1
04117A222 00520,"(12, 16, 110, 113, 120, 152, 162, 205, 215, 234, 301, 305, 306, 310, 311, 313, 330, 331, 510, 515, 521)",21
04141A009 12161,"(38, 215, 225, 234, 306, 330, 331, 510, 515)",9
04143A009 12519,"(16, 110, 205, 234, 306, 330, 331, 510, 515)",9
04166 027 00055,"(16, 110, 215, 227, 234, 306, 331, 510)",8
04168 027 00235,"(241, 330, 515)",3
04173 027 01422,"(16, 110, 205, 220, 234, 306, 330, 510, 515)",9
04181 027 02669,"(16, 110, 205, 215, 306, 331, 510)",7
04190 039 00396,"(12, 16, 109, 110, 205, 215, 234, 306, 310, 311, 313, 330, 331, 510, 515)",15
04192 039 00623,"(38, 116, 144, 155, 205, 215, 220, 234, 306, 331, 510)",11
04199 180 00773,"(16, 110, 216, 225, 228, 235, 306, 331, 510)",9
04231A016 01406,"(38, 215, 226, 234, 306, 331, 510)",7
04242A016 02170,"(38, 215, 306, 310, 330, 510, 515)",7
04267A210 00245,"(38, 215, 228, 234, 306, 331, 510)",7
04272 211 00073,"(16, 110, 219, 225, 228, 231, 306, 331, 510)",9
04278A211 00631,"(16, 110, 205, 215, 220, 234, 306, 330, 510, 515)",10
04283 211 01867,"(16, 110, 219, 225, 228, 306, 330, 510, 515)",9
04285 211 02045,"(38, 216, 219, 225, 228, 306, 330, 331, 510, 515)",10
04287 211 02425,"(16, 110, 205, 216, 220, 231, 306, 331, 510)",9
04288A212 00134,"(38, 215, 306, 310, 331, 510)",6
04289A212 00264,"(38, 215, 306, 330, 510, 515)",6
04301 211 00493,"(12, 111, 216, 219, 225, 228, 235, 306, 331, 510)",10
04307A005 22821,"(38, 215, 306, 310, 330, 510, 515)",7
04311A005 23101,"(38, 215, 306, 310, 330, 510, 515)",7
04347A007 20328,"(38, 205, 215, 234, 306, 330, 331, 510, 515)",9
04373A007 22774,"(38, 205, 215, 234, 306, 331, 510)",7
04374A007 22840,"(38, 205, 215, 234, 306, 331, 510)",7
04393A450 00526,"(38, 219, 225, 306, 310, 330, 510, 515)",8
04394A450 00653,"(38, 216, 219, 225, 306, 310, 330, 510, 515)",9
043B12000000014,"(38, 215, 220, 306, 332, 510)",6
043B13000000010,"(38, 215, 306, 330, 510, 515)",6
04412A450Y01272,"(12, 38, 109, 210, 215, 300, 302, 306, 310, 311, 330, 510, 515)",13
04442A140 03608,"(38, 215, 306, 310, 330, 331, 510, 515)",8
04444 140 04407,"(16, 38, 110, 215, 306, 330, 510, 515)",8
04445 140 04468,"(16, 38, 110, 215, 220, 306, 330, 510, 515)",9
04468A163 01955,"(12, 107, 215, 306, 331, 510, 515)",7
04473 211 00543,"(38, 216, 225, 231, 306, 331, 510, 515)",8
04474 007A00142,"(12, 111, 219, 225, 228, 235, 306, 331, 510)",9
04478A052 04068,"(240, 515)",2
04485 052 05567,"(38, 215, 225, 306, 330, 510, 515)",7
04504A320 01357,"(38, 215, 306, 310, 330, 510, 515)",7
04516A001 30793,"(12, 16, 107, 110, 215, 330, 331, 510, 515)",9
04517 01WX00511,"(12, 16, 107, 110, 113, 116, 152, 155, 205, 215, 220, 234, 301, 302, 304, 306, 311, 313, 330, 331, 510, 515)",22
04518 01WX00484,"(16, 110, 116, 155, 205, 215, 234, 301, 311, 330, 331, 510, 515)",13
04522 125 00174,"(38, 110, 155, 215, 306, 331, 510)",7
04527 125 01376,"(38, 116, 144, 155, 205, 215, 220, 227, 306, 331, 510)",11
04528 125 01498,"(38, 110, 116, 144, 155, 205, 215, 220, 306, 331, 510)",11
04534 125 01972,"(38, 144, 215, 306, 331, 510)",6
04543 125 02221,"(38, 110, 205, 215, 220, 234, 306, 331, 510)",9
04566B068 00710,"(12, 107, 205, 215, 234, 306, 330, 510, 515)",9
04573 039 01878,"(16, 110, 155, 205, 234, 306, 330, 510, 515)",9
04585 191 01683,"(38, 202, 205, 216, 220, 228, 306, 331, 510)",9
04587A191 00720,"(31, 107, 111, 202, 216, 220, 231, 306, 330, 510, 515)",11
04588A191 00985,"(38, 202, 215, 225, 228, 234, 306, 331, 510)",9
04589A191 01011,"(16, 110, 205, 220, 234, 306, 331, 510)",8
04590A191 01056,"(38, 215, 225, 228, 234, 306, 331, 510)",8
04599A193 00618,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
04623A300 01495,"(16, 105, 110, 205, 215, 220, 225, 234, 302, 306, 311, 331, 510, 515, 521)",15
04642A009 06845,"(38, 215, 227, 234, 306, 330, 510, 515)",8
04643A009 06867,"(38, 215, 227, 234, 306, 330, 510, 515)",8
04651 009 07664,"(16, 110, 215, 306, 330, 331, 510, 515)",8
04654 009 07961,"(16, 110, 205, 215, 220, 234, 306, 331, 510)",9
04660A009 08501,"(16, 110, 205, 215, 306, 310, 330, 510, 515)",9
04668 000400668,"(15, 104, 205, 215, 234, 302, 310, 330, 331)",9
04673 032 00147,"(16, 110, 215, 306, 330, 510, 515)",7
04675A032 00443,"(16, 105, 227, 234, 306, 331)",6
04677 032 00581,"(16, 110, 215, 306, 331, 510)",6
04678 032 00732,"(38, 205, 215, 234, 306, 331, 510)",7
04680 032 01048,"(31, 111, 202, 219, 220, 306, 332, 510, 515)",9
04681 032 01066,"(31, 111, 206, 216, 220, 225, 231, 235, 306, 332, 510)",11
04691A130 00127,"(16, 110, 215, 225, 228, 234, 306, 311, 331, 510, 515)",11
04697A008 00018,"(12, 109, 205, 215, 234, 304, 306, 310, 330, 331, 515, 521)",12
04698A556 00306,"(12, 107, 215, 220, 306, 330, 510, 515)",8
04703 339 00331,"(12, 38, 107, 215, 220, 306, 331, 510, 515)",9
04704 339 00316,"(12, 38, 107, 215, 220, 306, 331, 510)",8
04717A028 04446,"(240, 515)",2
04723 028 05020,"(240, 515)",2
04725B028 05566,"(38, 215, 306, 310, 330, 510, 515)",7
04733A036 01775,"(16, 110, 205, 306, 331, 510)",6
04745 052 07668,"(241, 330, 515)",3
04746 052 07744,"(241,)",1
04760A320 03604,"(38, 215, 306, 310, 330, 510, 515)",7
04770A333 00959,"(38, 219, 306, 310, 330, 510, 515)",7
04771A333 01015,"(38, 219, 306, 310, 330, 510, 515)",7
04775A334 00090,"(38, 215, 306, 310, 330, 510, 515)",7
04780A334 00355,"(38, 215, 306, 330, 510, 515)",6
04784A334 01133,"(38, 219, 225, 306, 330, 510, 515)",7
04788 334 01460,"(38, 215, 225, 306, 331, 510)",6
04805 032 00719,"(38, 205, 215, 234, 306, 331, 510)",7
04821A010 00264,"(12, 16, 109, 110, 210, 215, 302, 306, 310, 330, 331, 510, 515)",13
04834A340 00063,"(38, 215, 225, 234, 306, 330, 510, 515)",8
04841A341 04675,"(16, 110, 205, 215, 306, 331, 510)",7
04845 341 04298,"(12, 107, 215, 306, 313, 331, 510, 515)",8
04847A341 03975,"(16, 110, 205, 215, 306, 331, 510, 521)",8
04855A342 00944,"(38, 219, 225, 306, 310, 330, 510, 515)",8
04917A351F00606,"(38, 215, 225, 228, 234, 331, 510)",7
04932A000 01323,"(12, 109, 215, 225, 306, 330, 510)",7
04936A044 01679,"(38, 219, 225, 231, 306, 310, 330, 510, 515)",9
04953A102 07509,"(38, 215, 225, 228, 306, 330, 331, 510, 515)",9
04960A102 08622,"(38, 215, 225, 234, 306, 310, 331, 510, 515)",9
04962A140 00102,"(38, 219, 225, 228, 231, 306, 331, 510)",8
04966A140 00959,"(16, 110, 216, 219, 225, 228, 231, 235, 306, 310, 330, 331, 510, 515)",14
04968 141 00573,"(38, 216, 228, 231, 235, 306, 330, 331, 515)",9
04970B141 00888,"(12, 109, 210, 215, 220, 302, 306, 310, 313, 330, 331)",11
04979A005 08185,"(16, 110, 205, 210, 215, 306, 330, 510, 515)",9
04981A005 08453,"(16, 110, 205, 210, 215, 306, 330, 331, 510, 515)",10
04988A005 10305,"(38, 215, 306, 310, 330, 510, 515)",7
04T01 000 00035,"(30, 107, 215, 220, 306, 330, 510, 515)",8
04T02 000 00112,"(16, 110, 155, 215, 228, 234, 306, 313, 330, 510, 515)",11
04T03 000 00173,"(30, 107, 215, 220, 306, 330, 510, 515)",8
04T06 000000000,"(30, 107, 215, 306, 330, 510, 515)",7
04T07 000000000,"(30, 107, 215, 306, 330, 510, 515)",7
05017A390 00002,"(38, 219, 225, 231, 306, 330, 510, 515)",8
05018A390 00043,"(16, 105, 110, 205, 215, 220, 302, 311, 330, 331, 510, 515)",12
05023A01W 03818,"(241,)",1
05038A153 00090,"(12, 109, 215, 306, 331)",5
05054 026 00077,"(12, 110, 113, 116, 120, 152, 155, 162, 205, 210, 215, 220, 234, 301, 302, 303, 311, 313, 331, 510, 515, 521)",22
05057 000,"(16, 28, 38, 110, 215, 306, 330, 331, 510, 515)",10
05066A002000026,"(12, 16, 105, 109, 205, 215, 225, 234, 302, 310, 330, 515)",12
05109 012 00000,"(54, 216, 228, 235, 306, 330, 510, 515)",8
05113A012 00000,"(16, 110, 202, 216, 220, 225, 228, 235, 306, 331, 510)",11
05132A010 00000,"(16, 110, 216, 225, 228, 235, 306, 331, 510)",9
05133 010,"(54, 216, 228, 235, 306, 332, 510)",7
05140A008 00000,"(16, 110, 215, 228, 235, 306, 331, 510)",8
05150A090600009,"(15, 104, 205, 215, 220, 234, 300, 314, 330, 515)",10
05194 01W 00141,"(12, 16, 107, 110, 161, 205, 215, 225, 234, 301, 302, 311, 313, 330, 331, 515)",16
05194R026 00002,"(16, 110, 202, 205, 215, 220, 225, 234, 301, 302, 306, 310, 311, 330, 331, 510, 515)",17
05195A01W 00193,"(16, 110, 205, 215, 220, 234, 306, 311, 330, 510, 515)",11
05195B01W 00198,"(38, 109, 215, 234)",4
05203A006 18159,"(38, 215, 331, 510)",4
05204A006 18195,"(38, 215, 225, 234, 306, 331, 510, 515)",8
05204B006 18195,"(38, 215, 225, 234, 306, 331, 510, 515)",8
05208 290 00830,"(16, 110, 205, 215, 220, 234, 302, 311, 313, 330, 510, 515)",12
05209A006 18842,"(12, 109, 205, 215, 234, 302, 306, 311, 331, 510)",10
05225A456 01098,"(16, 38, 110, 205, 215, 234, 306, 330, 510, 515)",10
05244 000 00050,"(16, 110, 215, 220, 306, 330, 510, 515)",8
05246 000 00020,"(12, 107, 215, 220, 306, 311, 313, 330, 510, 515)",10
05269 171 04996,"(16, 110, 155, 205, 306, 330, 510, 515)",8
05272A171 03010,"(240, 515)",2
05283A270 01544,"(38, 210, 219, 306, 310, 330, 510, 515)",8
05285A018 00196,"(16, 110, 205, 215, 234, 306, 331, 510)",8
05286 018 00246,"(12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 300, 301, 306, 311, 313, 330, 331, 510, 515, 521)",21
05290 01EX00386,"(16, 110, 116, 155, 205, 215, 220, 234, 306, 330, 331, 510, 515)",13
05295 000 00056,"(38, 215, 306, 310, 330, 510, 515)",7
05296 340000020,"(38, 215, 306, 310, 330, 510, 515)",7
05314 000 00436,"(16, 110, 215, 220, 306, 330, 510, 515)",8
05322 000,"(38, 215, 306, 310, 330, 510, 515)",7
05351A066 00025,"(38, 215, 226, 234, 306, 312, 331, 510)",8
05379A634 00000,"(12, 109, 205, 215, 234, 306, 310, 331, 510)",9
05381 647,"(31, 111, 117, 135, 156, 205, 215, 225, 231, 234, 304, 311, 332)",13
05387 026 00000,"(31, 117, 216, 228, 235, 306, 332, 510)",8
05389A639,"(16, 110, 205, 215, 220, 228, 234, 306, 331, 510)",10
05419A037,"(31, 111, 216, 225, 228, 235, 306, 332, 510)",9
05422A604 00000,"(16, 110, 202, 216, 228, 235, 306, 331, 510)",9
05427A044 00000,"(16, 110, 205, 215, 306, 310, 331, 510)",8
05440A779,"(16, 110, 205, 220, 234, 306, 331, 510)",8
05443A077900704,"(12, 28, 107, 113, 152, 161, 205, 215, 220, 234, 304, 306, 311, 313, 330, 510, 515)",17
05478A427 00732,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
05492 068 01652,"(16, 110, 216, 225, 228, 306, 330, 510, 515)",9
05511A632,"(16, 110, 215, 228, 234, 306, 331, 510)",8
05512A632,"(16, 110, 216, 225, 228, 235, 306, 331, 510)",9
05514 747 00000,"(54, 216, 228, 235, 306, 332, 510)",7
05533A027 00000,"(38, 215, 225, 234, 306, 331, 510, 515)",8
05549A735,"(16, 110, 216, 225, 228, 235, 306, 331, 510)",9
05551A735 00000,"(16, 110, 216, 225, 228, 235, 306, 331, 510)",9
05552A735 00000,"(16, 110, 216, 228, 235, 306, 331, 510)",8
05584A076700067,"(38, 215, 220, 306, 330, 510, 515)",7
05640A131 00833,"(38, 113, 116, 120, 152, 162, 205, 206, 215, 220, 225, 228, 234, 302, 306, 311, 313, 331, 510, 515)",20
05789A005300000,"(12, 107, 113, 152, 161, 202, 205, 215, 231, 234, 300, 301, 302, 304, 306, 310, 311, 313, 330, 510, 515)",21
05795A604 00000,"(16, 110, 202, 216, 228, 231, 235, 306, 331, 510)",10
05836A957,"(38, 215, 306, 312, 330, 510, 515)",7
05913A960 00000,"(16, 110, 205, 215, 220, 234, 306, 331, 510)",9
05978 162 05409,"(12, 16, 109, 110, 205, 215, 220, 225, 234, 306, 310, 311, 331, 510)",14
05C01A000000000,"(38, 215, 306, 310, 330, 510, 515)",7
05C02 000   001,"(31, 107, 215, 306, 330, 510, 515)",7
05C03 000   003,"(16, 110, 205, 215, 306, 331, 510)",7
05C04 000,"(31, 111, 215, 225, 306, 310, 330, 510, 515)",9
05C06 000 00000,"(38, 215, 227, 234, 306, 310, 331, 510)",8
05C08 220300022,"(38, 215, 306, 310, 330, 510, 515)",7
06008A028,"(38, 215, 225, 227, 234, 306, 331, 510)",8
06009A028,"(38, 215, 225, 234, 306, 331, 510, 515)",8
06015 013 00437,"(16, 110, 210, 215, 225, 306, 330, 510, 515)",9
06023 027 00678,"(16, 110, 202, 216, 228, 231, 235, 306, 331, 510, 515)",11
06025 610100900,"(38, 215, 306, 310, 330, 510, 515)",7
06034 000,"(12, 107, 215, 220, 306, 331, 510, 515)",8
06040 054 00173,"(38, 215, 306, 310, 330, 510, 515)",7
06044 028 00262,"(12, 16, 107, 110, 215, 220, 225, 234, 301, 306, 311, 313, 330, 510, 515)",15
06056 368 00020,"(16, 110, 205, 215, 234, 301, 306, 310, 330, 510, 515)",11
06070A000 00140,"(12, 109, 215, 306, 310, 331)",6
06072 220 00020,"(12, 107, 155, 205, 215, 220, 234, 306, 330, 510, 515, 521)",12
06076B062 00172,"(38, 215, 306, 310, 330, 510)",6
06080A000000000,"(38, 205, 215, 234, 306, 331)",6
06083A009 00040,"(12, 109, 215, 301, 331, 521)",6
06093 015 00300,"(16, 110, 215, 220, 306, 330, 510, 515)",8
06096 000 00050,"(38, 215, 306, 330, 510, 515)",6
06113 000,"(16, 110, 215, 228, 231, 235, 306, 330, 515)",9
06115 000   500,"(31, 111, 216, 228, 235, 306, 330, 510, 515)",9
06122 000,"(38, 202, 215, 220, 228, 234, 306, 331, 510, 515)",10
06132 006 00099,"(16, 110, 215, 220, 306, 330, 510, 515)",8
06138 000,"(38, 219, 225, 228, 231, 306, 310, 330, 510, 515)",10
06143 000 00131,"(31, 111, 219, 228, 235, 306, 330, 510, 515)",9
06163 000,"(31, 111, 216, 228, 235, 306, 330, 510, 515)",9
06167 000 00360,"(31, 111, 216, 228, 235, 306, 330, 510, 515)",9
06168 000 00385,"(31, 111, 216, 225, 228, 235, 306, 330, 510, 515)",10
06172 029 00008,"(16, 110, 215, 306, 330, 510, 515)",7
06175 000 00030,"(38, 219, 228, 306, 310, 330, 510, 515)",8
06185 000 00101,"(38, 219, 228, 306, 310, 330, 510, 515)",8
06191 015 00762,"(31, 111, 219, 228, 231, 306, 330, 510, 515)",9
06198 033 00017,"(12, 107, 113, 152, 215, 220, 306, 330, 510, 515)",10
06204 028 09831,"(16, 110, 205, 215, 306, 331, 510)",7
06205 028 09913,"(16, 110, 205, 215, 306, 330, 510, 515)",8
06206A015 00000,"(38, 205, 215, 228, 306, 330, 510)",7
06207A017 00000,"(12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 304, 306, 311, 313, 330, 515)",17
06208A640 00000,"(16, 110, 205, 215, 306, 311, 331)",7
06215 000,"(16, 110, 215, 220, 306, 310, 330, 510, 515)",9
06217 060 00184,"(38, 113, 120, 152, 162, 205, 215, 220, 306, 311, 313, 330, 510, 515)",14
06218 001 00180,"(16, 110, 219, 228, 231, 306, 310, 330, 510, 515)",10
06219 000,"(38, 215, 306, 310, 331, 510)",6
06228 009 00353,"(16, 110, 219, 228, 231, 306, 310, 330, 510, 515)",10
06253 000 00780,"(38, 219, 228, 306, 330, 510, 515)",7
06254 000 00830,"(12, 16, 107, 110, 210, 215, 220, 225, 301, 306, 311, 330, 515, 521)",14
06262 000 00006,"(38, 202, 215, 220, 228, 306, 310, 330, 510, 515)",10
06263 000,"(16, 110, 215, 220, 306, 330, 510, 515)",8
06264 008 00153,"(12, 107, 113, 152, 215, 306, 330, 510, 515)",9
06267 000 00085,"(38, 215, 220, 306, 330, 510, 515)",7
06283 000 00333,"(38, 215, 306, 330, 510, 515)",6
06284 000 00466,"(38, 215, 306, 310, 330, 510, 515)",7
06287 000 00171,"(38, 215, 220, 306, 330, 510, 515)",7
06299 015 00048,"(16, 110, 205, 215, 220, 234, 301, 306, 310, 331, 510)",11
06318 000   002,"(16, 110, 215, 225, 228, 234, 306, 330, 510, 515)",10
06322 000   125,"(38, 216, 225, 227, 228, 306, 310, 330, 510, 515)",10
06326 000 00115,"(38, 219, 228, 306, 310, 330, 510, 515)",8
06329 000 00001,"(16, 110, 215, 220, 306, 330, 510, 515)",8
06331 000 00109,"(16, 109, 215, 306, 310, 330, 510, 515)",8
06336 000,"(38, 215, 306, 310, 330, 510, 515)",7
06338 000 00001,"(16, 110, 215, 220, 306, 330, 510, 515)",8
06340 009 00272,"(38, 215, 306, 330, 510, 515)",6
06360 000 00055,"(16, 110, 215, 306, 330, 510, 515)",7
06364 000 00010,"(38, 215, 306, 310, 330, 510, 515)",7
06389 002 00704,"(12, 107, 215, 220, 306, 310, 330, 510, 515)",9
06394 002 00252,"(38, 215, 220, 306, 330, 510, 515)",7
06395 001 00025,"(12, 109, 210, 215, 220, 301, 306, 310, 330, 510, 515)",11
06397 000   035,"(16, 110, 215, 220, 306, 330, 510, 515)",8
063C21C53600002,"(30, 107, 152, 215, 219, 306, 330, 510, 515)",9
063C76C68501015,"(30, 107, 152, 215, 219, 220, 225, 311, 313, 330, 510, 515)",12
06419A601 00001,"(12, 16, 107, 109, 110, 161, 205, 215, 220, 234, 300, 301, 304, 306, 310, 330, 515, 521)",18
06422 027 00392,"(16, 110, 216, 225, 228, 231, 306, 331, 510, 515)",10
06424 037 00230,"(16, 110, 210, 215, 220, 306, 330, 510, 515)",9
06454 000 00139,"(31, 111, 219, 228, 231, 306, 330, 510, 515)",9
06455 033 00015,"(12, 107, 210, 215, 220, 306, 330, 510, 515)",9
06456 000   040,"(12, 107, 205, 215, 220, 234, 306, 311, 313, 330, 510, 515)",12
06461 000 00259,"(38, 219, 225, 228, 231, 306, 310, 330, 510, 515)",10
06466 045 00004,"(12, 107, 205, 215, 220, 301, 306, 310, 313, 330, 515, 521)",12
06478 000 00159,"(12, 107, 205, 215, 220, 231, 234, 306, 313, 330, 510, 515)",12
06480 000   002,"(16, 110, 215, 220, 306, 330, 510, 515)",8
06486 000 00020,"(38, 215, 220, 306, 330, 510, 515)",7
06490 000 00811,"(16, 110, 215, 306, 330, 510, 515)",7
06492 031 00020,"(12, 107, 215, 220, 306, 311, 330, 510, 515)",9
06497 123 00091,"(12, 113, 120, 147, 148, 152, 161, 162, 202, 205, 210, 215, 220, 231, 300, 302, 303, 306, 311, 313, 330, 331, 515, 521)",24
06498 123 00027,"(38, 107, 116, 152, 155, 202, 215, 301, 302, 311, 312, 331, 515, 521)",14
06505 019 00312,"(16, 110, 205, 215, 234, 306, 331, 510)",8
06506 010 00374,"(12, 107, 113, 152, 205, 210, 215, 306, 330, 510, 515)",11
06508 018 01183,"(16, 110, 205, 215, 220, 306, 331, 510)",8
06512 228 00565,"(12, 16, 107, 110, 113, 152, 210, 215, 220, 301, 306, 311, 330, 510, 515)",15
06513 212 00069,"(12, 38, 107, 215, 220, 306, 310, 313, 330, 510, 515)",11
06514A009 24181,"(38, 215, 225, 226, 234, 306, 310, 331, 510)",9
06516A035 00057,"(38, 215, 226, 234, 306, 310, 331, 510, 521)",9
06519A047 05519,"(12, 38, 109, 205, 210, 215, 234, 302, 306, 310, 330)",11
06520 022 00317,"(12, 107, 109, 205, 215, 220, 234, 301, 306, 310, 330, 515)",12
06521A000 00117,"(16, 38, 109, 205, 215, 234, 306, 310, 330, 510, 515)",11
06523 000 00329,"(12, 16, 107, 110, 215, 220, 225, 234, 306, 310, 311, 313, 331, 510, 515)",15
06524 047 00707,"(38, 110, 155, 205, 234, 306, 330, 515)",8
06530A001 07571,"(38, 215, 220)",3
06543 015 00701,"(16, 110, 205, 215, 234, 306, 331, 510)",8
06545 027 00055,"(12, 107, 210, 215, 301, 306, 311, 313, 330, 510, 515)",11
06546 149 00161,"(12, 107, 215, 225, 231, 306, 330, 510, 515)",9
06547 028 00472,"(38, 215, 306, 310, 331, 510)",6
06548 000 00002,"(12, 107, 210, 215, 220, 301, 306, 311, 330, 515, 521)",11
06550 734 00142,"(16, 110, 205, 234, 306, 331, 510)",7
06556 000 00019,"(12, 107, 210, 215, 220, 306, 330, 510, 515)",9
06560 019 00341,"(12, 38, 113, 141, 152, 161, 205, 215, 219, 225, 231, 234, 301, 306, 310, 330, 331, 510, 515)",19
06563 000 00041,"(12, 107, 215, 306, 330, 510, 515)",7
06564 000 00500,"(16, 110, 215, 217, 306, 334, 510)",7
06565 000 00391,"(16, 110, 217, 306, 334, 510)",6
06566 000 00323,"(16, 110, 217, 306, 334, 510)",6
06567 000 00025,"(16, 110, 205, 215, 234, 306, 331, 510)",8
06568 004 00364,"(31, 107, 117, 152, 205, 215, 220, 306, 311, 313, 330, 510, 515)",13
06571 002 00404,"(12, 113, 120, 152, 161, 215, 301, 302, 306, 311, 313, 331, 510, 515)",14
06573 005 00091,"(12, 109, 215, 220, 306, 310, 330, 510, 515)",9
06575 000 00012,"(12, 16, 107, 110, 205, 215, 234, 301, 306, 311, 313, 331, 510, 515)",14
06580 001 00284,"(12, 60, 113, 118, 120, 152, 161, 205, 215, 300, 301, 310, 330, 515)",14
06591D000,"(12, 107, 215, 220, 225, 231, 306, 330, 510, 515)",10
06598A413 00570,"(38, 215, 306, 330, 510, 515)",6
06599A000,"(16, 109, 215, 306, 310, 330, 510, 515)",8
06600A413 00041,"(31, 107, 152, 156, 215, 310, 332, 515)",8
06605A022 00038,"(12, 109, 205, 215, 234, 300, 310, 330, 331, 510, 515)",11
06609 000,"(31, 107, 111, 152, 202, 219, 225, 228, 231, 235, 306, 330, 510, 515)",14
06610C244,"(38, 205, 215, 225, 234, 306, 310, 330, 510, 515)",10
06618 000 00066,"(38, 215, 306, 330, 510, 515)",6
06619 000 00252,"(38, 215, 220, 310, 330, 515)",6
06633 000 00020,"(16, 110, 215, 306, 310, 330, 510, 515)",8
06635 004 00077,"(12, 38, 107, 152, 161, 205, 215, 225, 234, 302, 311, 313, 330, 510, 515)",15
06635Q004 00000,"(12, 13, 38, 107, 113, 120, 152, 161, 162, 205, 215, 220, 234, 302, 305, 311, 313, 330, 515)",19
06645 002C06462,"(12, 16, 28, 107, 110, 113, 120, 152, 162, 205, 210, 215, 220, 225, 234, 300, 304, 306, 311, 313, 330, 510, 515)",23
06646 000600646,"(38, 215, 225, 234, 306, 330, 510, 515)",8
06648 000 00043,"(12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 300, 304, 310, 311, 314, 330, 331, 510, 515)",20
06653A01W 06813,"(16, 110, 205, 215, 220, 225, 234, 306, 331, 510)",10
06654A01W 06846,"(12, 110, 215, 219, 225, 228, 231, 235, 306, 311, 331, 510)",12
06661 001F23366,"(16, 110, 219, 225, 228, 231, 306, 330, 510, 515)",10
06662 01W 06438,"(16, 110, 205, 219, 228, 231, 306, 330, 510, 515)",10
06671 002 02809,"(16, 105, 155, 205, 215, 234, 301, 306, 311, 330, 515, 521)",12
06671A002 02809,"(12, 16, 109, 110, 205, 215, 234, 301, 306, 311, 316, 330, 331, 515, 521)",15
06677A008 03075,"(38, 215, 331, 510)",4
06683 01WX00036,"(12, 29, 113, 120, 152, 162, 202, 210, 215, 300, 305, 311, 313, 330, 331, 510, 515)",17
06683A01WX00031,"(12, 107, 113, 152, 202, 205, 210, 215, 234, 300, 311, 313, 330, 515)",14
06683B01WX00046,"(12, 107, 113, 116, 152, 202, 215, 220, 300, 302, 306, 311, 313, 330, 331, 515, 521)",17
06683D01WX00044,"(16, 110, 205, 215, 234, 300, 301, 311, 330, 331, 515)",11
