Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
9,"16, 110, 155, 205, 215, 225, 306, 331, 510",1,07787 009 30779
10,"16, 110, 155, 205, 215, 234, 301, 311, 331, 510",1,25B06 000 00062
8,"38, 219, 225, 228, 306, 310, 331, 510",1,02869 415 01253
8,"38, 219, 228, 231, 306, 310, 332, 510",1,53C057651300327
9,"16, 110, 205, 215, 220, 234, 306, 310, 331",1,14868A270000876
12,"16, 110, 205, 215, 220, 234, 302, 311, 313, 330, 510, 515",1,05208 290 00830
11,"16, 110, 205, 215, 220, 234, 302, 306, 311, 331, 510",1,00704 B52201803
9,"16, 110, 205, 215, 220, 234, 301, 331, 510",1,07572A001 15649
5,"38, 219, 225, 310, 332",1,41C26 10900 000
11,"16, 110, 205, 215, 220, 234, 301, 306, 311, 331, 510",1,470604072 00557
11,"16, 110, 205, 215, 220, 234, 301, 306, 310, 331, 510",1,06299 015 00048
13,"16, 110, 205, 215, 220, 234, 301, 306, 310, 311, 330, 331, 510",1,02279A234 01710
13,"16, 110, 205, 215, 220, 234, 301, 306, 310, 311, 313, 331, 510",1,15C010063500040
10,"38, 219, 228, 231, 235, 306, 310, 330, 510, 515",1,12423A001400168
8,"38, 219, 228, 231, 306, 310, 330, 510",1,09951 000900951
11,"16, 110, 205, 215, 220, 228, 234, 306, 330, 510, 515",1,07226 009 02953
12,"16, 110, 205, 215, 220, 228, 234, 306, 330, 331, 510, 515",1,01075A033 04888
8,"38, 219, 228, 231, 306, 310, 331, 510",1,53C014000600372
11,"16, 110, 205, 215, 220, 225, 306, 330, 331, 510, 515",1,07677 037 04234
6,"38, 219, 225, 310, 331, 515",1,21011 000 00000
11,"16, 110, 205, 215, 220, 225, 301, 306, 331, 510, 521",1,00587C035 06761
11,"16, 110, 205, 215, 220, 225, 234, 306, 331, 510, 515",1,01259 027 05453
7,"38, 219, 228, 231, 306, 332, 510",1,53C050063500091
9,"16, 110, 205, 215, 220, 225, 234, 306, 331",1,07736A001 18546
11,"16, 110, 205, 215, 220, 225, 234, 306, 330, 510, 515",1,07747 8T2 00027
14,"16, 110, 205, 215, 220, 225, 234, 302, 306, 310, 311, 331, 510, 515",1,07019 01W 08421
10,"16, 110, 205, 215, 217, 234, 306, 311, 334, 510",1,07164 01E 01386
8,"16, 110, 205, 210, 234, 306, 331, 510",1,07640A001 15079
10,"16, 110, 205, 210, 234, 306, 311, 331, 510, 515",1,45C120057000041
10,"16, 110, 205, 210, 220, 234, 304, 330, 510, 515",1,15C24 635 00090
9,"16, 110, 205, 210, 216, 235, 306, 332, 510",1,03086 046 00146
9,"16, 110, 205, 210, 215, 306, 331, 510, 521",1,08195 001 29923
9,"16, 110, 205, 210, 215, 306, 330, 510, 515",1,04979A005 08185
10,"16, 110, 205, 210, 215, 306, 330, 331, 510, 515",1,04981A005 08453
12,"16, 110, 205, 215, 220, 234, 306, 311, 330, 331, 510, 515",1,02461A037 03866
6,"38, 219, 225, 310, 331, 510",1,21010 000 00000
10,"54, 146, 152, 215, 306, 310, 313, 330, 510, 515",1,18529 000 00011
8,"38, 219, 225, 231, 306, 310, 330, 510",1,01C514919 00005
11,"16, 110, 205, 215, 225, 234, 302, 306, 311, 331, 510",1,07036 002C00132
9,"16, 110, 205, 215, 225, 234, 301, 330, 515",1,08817 008 00054
11,"16, 110, 205, 215, 225, 234, 301, 306, 331, 510, 521",1,07292B006 28584
12,"16, 110, 205, 215, 225, 234, 301, 306, 311, 331, 510, 515",1,R7040A01EX00022
9,"16, 110, 205, 215, 225, 228, 306, 331, 510",1,07779 037 05146
8,"38, 219, 225, 228, 306, 332, 510, 515",1,53C006065500013
15,"16, 110, 205, 215, 225, 228, 234, 301, 306, 310, 311, 330, 331, 510, 515",1,03173A035 00534
8,"16, 110, 205, 215, 220, 330, 510, 515",1,08592 520 01842
8,"38, 219, 225, 228, 310, 330, 510, 515",1,12503 022200412
7,"38, 219, 225, 228, 310, 330, 515",1,12365 012700104
7,"38, 219, 225, 228, 330, 510, 515",1,12362 012700076
5,"38, 219, 225, 228, 332",1,53C067661400104
7,"16, 110, 205, 215, 220, 306, 510",1,25B77 000  B-77
6,"38, 219, 225, 228, 332, 510",1,14046 082400003
8,"38, 219, 225, 231, 306, 310, 330, 515",1,09749 672 00046
10,"16, 110, 205, 215, 220, 234, 306, 330, 331, 510",1,00492A01W 05789
7,"38, 219, 225, 231, 306, 310, 331",1,20889 000 00000
8,"38, 219, 225, 231, 306, 330, 510, 515",1,05017A390 00002
8,"16, 110, 205, 215, 220, 306, 330, 510",1,10002A068300016
10,"16, 110, 205, 215, 220, 306, 330, 331, 515, 521",1,00614A226 01379
10,"16, 110, 205, 215, 220, 306, 330, 331, 510, 515",1,08426 006C25642
8,"38, 215, 231, 306, 310, 330, 510, 515",1,235305235300010
10,"16, 110, 205, 215, 220, 306, 311, 330, 510, 515",1,03459 233 00058
11,"16, 110, 205, 215, 220, 302, 306, 311, 331, 510, 515",1,08598 331 00202
12,"16, 110, 205, 215, 220, 301, 306, 311, 330, 331, 510, 515",1,00613C226 01575
9,"16, 110, 205, 215, 220, 234, 306, 331, 521",1,03146A102 05958
7,"38, 219, 225, 304, 310, 330, 515",1,18954 117100015
10,"16, 110, 205, 215, 220, 234, 306, 330, 331, 515",1,25T10 108500000
6,"38, 219, 225, 306, 310, 510",1,20464 307500000
6,"38, 219, 225, 306, 331, 510",1,21623 411 01757
8,"38, 219, 228, 231, 306, 332, 510, 515",1,53C015860500043
13,"16, 110, 205, 210, 215, 234, 301, 306, 310, 311, 330, 331, 515",1,43C30 000100612
12,"16, 110, 205, 210, 215, 225, 234, 306, 330, 510, 515, 521",1,03060A042 00140
5,"38, 225, 302, 331, 515",1,25128D0025B128D
5,"16, 110, 155, 205, 331",1,005001005100009
8,"16, 110, 155, 205, 306, 331, 510, 521",1,07828A001 17584
5,"38, 219, 228, 310, 332",1,53C141066100240
6,"38, 219, 228, 330, 510, 515",1,12517 050300012
6,"16, 110, 155, 205, 306, 331",1,07738C001F18318
8,"16, 110, 155, 205, 306, 330, 510, 515",1,05269 171 04996
9,"16, 110, 155, 205, 306, 330, 331, 510, 515",1,07722 02W 05529
6,"38, 219, 306, 330, 510, 515",1,39C382366200022
9,"16, 110, 155, 205, 234, 306, 330, 510, 515",1,04573 039 01878
10,"16, 110, 155, 205, 234, 306, 330, 331, 510, 515",1,07751 067 00533
9,"16, 110, 155, 205, 234, 306, 311, 331, 510",1,069C05000006641
8,"38, 225, 231, 304, 310, 330, 510, 515",1,24156 000 00000
7,"38, 225, 234, 306, 331, 510, 521",1,07291D006 28438
8,"16, 110, 155, 205, 234, 301, 331, 510",1,07740B001 18263
5,"38, 225, 306, 331, 515",1,07291C006 28438
9,"16, 110, 205, 210, 215, 220, 306, 331, 510",1,08722 941 01273
9,"16, 110, 155, 205, 215, 306, 330, 510, 515",1,51C02 000 00001
6,"38, 227, 234, 306, 331, 510",1,08117 001C24214
10,"16, 110, 155, 205, 215, 306, 311, 331, 515, 521",1,08249 001F20906
10,"16, 110, 155, 205, 215, 306, 311, 330, 510, 515",1,03460 233 00096
11,"16, 110, 155, 205, 215, 306, 311, 313, 330, 510, 515",1,03462 233 01032
9,"16, 110, 155, 205, 215, 301, 306, 331, 510",1,01602 009 20272
10,"16, 110, 155, 205, 215, 301, 306, 311, 331, 510",1,01691 027 00671
7,"54, 107, 152, 215, 306, 330, 515",1,24189 000 00002
9,"54, 135, 152, 156, 215, 306, 332, 510, 515",1,39B164000000010
10,"16, 110, 155, 205, 215, 234, 306, 330, 510, 515",1,02447 058 00242
11,"16, 110, 155, 205, 215, 234, 306, 330, 331, 510, 515",1,07642 236 00783
10,"16, 110, 155, 205, 215, 234, 306, 311, 331, 510",1,00866B033 03934
11,"16, 110, 155, 205, 215, 234, 306, 311, 330, 510, 515",1,00921 02W 07725
12,"16, 110, 155, 205, 215, 234, 306, 311, 330, 331, 510, 521",1,02097 01E 00159
13,"16, 110, 155, 210, 215, 220, 301, 306, 311, 313, 330, 510, 515",1,39C635624000047
9,"16, 110, 155, 210, 215, 306, 330, 510, 515",1,06757C609300000
11,"16, 110, 155, 215, 225, 228, 231, 306, 331, 510, 515",1,04059 200 03793
11,"16, 110, 155, 215, 228, 234, 306, 313, 330, 510, 515",1,04T02 000 00112
10,"16, 110, 205, 210, 215, 220, 306, 330, 510, 515",1,02236A005 08092
11,"16, 110, 205, 210, 215, 220, 306, 330, 331, 510, 515",1,02533 01W 00937
10,"16, 110, 205, 210, 215, 220, 306, 330, 331, 510",1,02233A005 08517
10,"16, 110, 205, 210, 215, 220, 306, 311, 331, 510",1,07895 240001497
10,"16, 110, 205, 210, 215, 220, 234, 306, 331, 510",1,07950 001 10831
11,"16, 110, 205, 210, 215, 220, 234, 306, 330, 510, 515",1,02762 009 08032
10,"16, 110, 205, 210, 215, 220, 225, 306, 331, 510",1,00559B035 05317
11,"16, 110, 205, 206, 215, 216, 235, 306, 330, 510, 515",1,01637A002 19346
7,"38, 219, 228, 235, 306, 331, 510",1,09048 181 02964
7,"38, 219, 228, 306, 310, 330, 510",1,12421 001400066
9,"16, 110, 202, 219, 231, 306, 331, 510, 515",1,03965 015F01159
13,"16, 110, 202, 219, 225, 228, 231, 306, 310, 330, 332, 510, 515",1,12271 002A00394
11,"16, 110, 202, 219, 220, 228, 231, 306, 330, 510, 515",1,12786 003300450
11,"16, 110, 202, 219, 220, 228, 231, 306, 310, 332, 510",1,12954 083400166
12,"16, 110, 202, 219, 220, 225, 228, 231, 235, 306, 331, 510",1,02284 140 03373
14,"16, 110, 202, 219, 220, 225, 228, 231, 235, 306, 330, 332, 510, 515",1,12616 033600065
9,"16, 110, 202, 216, 228, 235, 306, 331, 510",1,05422A604 00000
10,"16, 110, 202, 216, 228, 235, 306, 330, 510, 515",1,03505A007 10423
11,"16, 110, 202, 216, 228, 235, 306, 330, 331, 510, 515",1,02387A009 31315
10,"16, 110, 202, 216, 228, 231, 306, 331, 510, 515",1,06686C01WX00550
11,"16, 110, 202, 216, 228, 231, 235, 306, 331, 510, 515",1,06023 027 00678
10,"16, 110, 202, 216, 228, 231, 235, 306, 331, 510",1,05795A604 00000
7,"38, 219, 228, 306, 310, 332, 510",1,53C004000400864
9,"16, 110, 202, 215, 228, 234, 306, 331, 510",1,12111A410021236
11,"16, 110, 202, 205, 215, 231, 234, 306, 331, 515, 521",1,07524B001 24938
11,"16, 110, 202, 205, 215, 225, 234, 306, 330, 510, 515",1,07321 01W 08261
17,"16, 110, 202, 205, 215, 220, 225, 234, 301, 302, 306, 310, 311, 330, 331, 510, 515",1,05194R026 00002
10,"16, 110, 161, 205, 215, 234, 306, 330, 510, 515",1,07626A292 00019
12,"16, 110, 161, 205, 215, 234, 302, 306, 330, 331, 510, 515",1,02062A002 04014
8,"16, 110, 219, 225, 306, 330, 510, 515",1,47C19 054 00000
12,"28, 107, 152, 205, 210, 215, 220, 234, 306, 311, 330, 515",1,19C337 12A  011
9,"16, 110, 219, 228, 231, 306, 330, 510, 515",1,12388 022700107
9,"31, 111, 215, 228, 235, 306, 330, 510, 515",1,57C22 708 00090
8,"31, 111, 216, 217, 306, 330, 510, 515",1,14482 000
10,"38, 210, 215, 219, 225, 306, 310, 330, 510, 515",1,39C387367000250
5,"31, 111, 215, 332, 510",1,59C685097400170
4,"31, 111, 215, 332",1,23C442044 00030
6,"31, 111, 215, 330, 510, 515",1,65C61 403 00248
10,"38, 210, 215, 220, 225, 228, 304, 310, 330, 515",1,57C59 563 00005
8,"38, 210, 215, 220, 225, 301, 306, 331",1,09442 890 00029
7,"31, 111, 215, 306, 313, 332, 510",1,18001 410400045
9,"38, 210, 215, 220, 227, 306, 310, 332, 510",1,14448 000
8,"31, 111, 215, 306, 310, 313, 332, 510",1,17C15AB46 00122
10,"38, 210, 215, 220, 235, 306, 330, 331, 510, 515",1,00817 042 01962
4,"31, 111, 215, 304",1,59C013142501253
8,"31, 111, 215, 235, 306, 330, 510, 515",1,525015525000045
11,"31, 111, 215, 228, 306, 310, 311, 313, 330, 510, 515",1,18C24AB32000647
9,"31, 111, 215, 228, 235, 304, 306, 332, 510",1,57C14 511 00030
8,"31, 111, 215, 217, 220, 330, 510, 515",1,65C59 308 00388
8,"38, 210, 215, 220, 302, 304, 306, 332",1,29CY4 FAU 00270
10,"31, 111, 215, 228, 234, 235, 306, 330, 510, 515",1,57C51 875 00005
6,"31, 111, 215, 225, 306, 332",1,63B013000000000
9,"31, 111, 215, 225, 306, 310, 330, 510, 515",1,05C04 000
5,"31, 111, 215, 220, 332",1,29C257000 00069
7,"31, 111, 215, 220, 330, 510, 515",1,671273017100181
7,"31, 111, 215, 220, 313, 332, 510",1,29C154790 00058
9,"38, 210, 215, 220, 306, 330, 331, 510, 515",1,03722 022 05598
7,"31, 111, 215, 220, 306, 332, 510",1,29C176820 00123
6,"38, 210, 215, 220, 306, 331",1,03103A103 00002
8,"31, 111, 215, 220, 306, 311, 332, 510",1,57C47 866 00005
10,"38, 210, 215, 225, 234, 306, 330, 331, 510, 515",1,01987A053 10436
9,"31, 111, 215, 220, 306, 311, 330, 510, 515",1,555020555000209
9,"31, 111, 215, 220, 235, 306, 330, 510, 515",1,369025369000152
11,"31, 111, 216, 219, 225, 228, 231, 306, 330, 510, 515",1,671239099100030
11,"31, 111, 216, 219, 225, 228, 235, 306, 330, 510, 515",1,671293C59800000
8,"38, 206, 216, 306, 330, 332, 510, 515",1,35C223125700560
12,"31, 111, 216, 219, 228, 231, 235, 306, 330, 332, 510, 515",1,67T002000000000
8,"38, 205, 215, 234, 306, 330, 510, 515",1,00773A033 03996
7,"38, 205, 215, 234, 306, 332, 510",1,25B05 000 00000
8,"38, 205, 215, 234, 330, 331, 510, 515",1,16181 E20 02685
5,"38, 205, 215, 234, 331",1,59C017138600001
6,"38, 205, 215, 234, 331, 510",1,06742 050Y00499
9,"31, 111, 216, 228, 231, 306, 330, 510, 515",1,35C116121000180
10,"31, 111, 216, 228, 231, 235, 306, 330, 510, 515",1,671297018700000
9,"38, 205, 215, 306, 310, 330, 510, 515, 521",1,C1109 000600019
4,"31, 111, 216, 228",1,21242 000 01470
6,"38, 205, 215, 306, 330, 515",1,39C151185000208
9,"31, 111, 216, 225, 231, 306, 330, 510, 515",1,671294071900130
10,"31, 111, 216, 225, 231, 235, 306, 330, 510, 515",1,53C084750200459
7,"31, 111, 216, 225, 228, 330, 515",1,11677 000
9,"31, 111, 216, 225, 228, 306, 330, 510, 515",1,671354084900300
10,"31, 111, 216, 225, 228, 306, 330, 332, 510, 515",1,671202200100000
7,"38, 205, 215, 306, 331, 510, 521",1,17477 001 24841
11,"38, 205, 216, 219, 220, 225, 228, 235, 306, 331, 510",1,10261A194 00627
9,"31, 111, 216, 225, 228, 235, 330, 510, 515",1,41C11 41801 020
9,"38, 205, 216, 220, 235, 306, 330, 510, 515",1,02013 160 02720
6,"38, 206, 215, 225, 234, 331",1,07595 001 15835
9,"38, 206, 216, 219, 228, 231, 306, 332, 510",1,53C054065300130
10,"31, 111, 216, 225, 228, 231, 235, 306, 332, 510",1,53C026000100165
8,"38, 206, 216, 228, 235, 306, 331, 510",1,03862A020 05424
9,"31, 111, 216, 220, 228, 235, 306, 332, 510",1,47C61 754
8,"38, 206, 216, 228, 306, 330, 510, 515",1,53B143000000000
7,"31, 111, 216, 219, 330, 510, 515",1,63C129805 00295
8,"31, 111, 216, 219, 311, 313, 332, 510",1,15C16 545000730
10,"31, 111, 216, 219, 228, 235, 306, 330, 510, 515",1,671298059800000
8,"38, 206, 216, 235, 306, 330, 510, 515",1,01C08A705 00027
8,"31, 111, 215, 217, 306, 330, 510, 515",1,65C23 000 00940
6,"31, 111, 215, 216, 330, 515",1,59C231121100025
7,"16, 110, 219, 228, 231, 306, 332",1,21C05 453 00493
11,"16, 105, 205, 215, 234, 306, 311, 330, 331, 510, 515",1,08194R003 00010
10,"31, 111, 205, 216, 231, 235, 306, 330, 510, 515",1,53C123959900485
10,"31, 111, 205, 216, 225, 306, 316, 330, 510, 515",1,14141 452 00409
9,"31, 111, 205, 216, 220, 306, 330, 510, 515",1,03C15 000
7,"31, 111, 205, 216, 220, 235, 510",1,59C327133700160
7,"38, 210, 215, 300, 310, 331, 510",1,BB014 000000000
9,"31, 111, 205, 215, 234, 310, 330, 510, 515",1,21699 000 01349
10,"31, 111, 205, 215, 234, 306, 313, 330, 510, 515",1,65C16 019 00349
10,"31, 111, 205, 215, 220, 235, 306, 330, 510, 515",1,01864 130 00323
8,"38, 210, 215, 301, 310, 330, 510, 515",1,671376022100000
14,"31, 111, 205, 215, 220, 228, 234, 235, 306, 311, 313, 330, 510, 515",1,11280 507 01383
6,"38, 210, 215, 302, 310, 331",1,BB015 000000000
10,"31, 111, 205, 215, 216, 220, 306, 330, 510, 515",1,65C58 308 00037
6,"31, 111, 205, 210, 215, 510",1,49C16 057000000
9,"31, 111, 205, 210, 215, 306, 310, 332, 510",1,16352 000 00000
11,"31, 111, 205, 206, 216, 220, 235, 306, 330, 510, 515",1,41C12 45301 016
9,"31, 111, 215, 216, 235, 306, 330, 510, 515",1,31C012083600085
7,"38, 210, 215, 306, 330, 331, 510",1,00572A019 09823
12,"31, 111, 205, 206, 216, 219, 220, 231, 235, 306, 332, 510",1,02965 027 03561
11,"31, 111, 205, 206, 215, 216, 220, 235, 306, 332, 510",1,47C24 079 00000
13,"31, 111, 205, 206, 215, 216, 217, 220, 235, 306, 330, 510, 515",1,15710 009 00093
8,"31, 111, 202, 219, 220, 330, 510, 515",1,671371065900130
7,"38, 210, 215, 306, 330, 331, 515",1,06895R026 00002
9,"31, 111, 202, 219, 220, 306, 332, 510, 515",1,04680 032 01048
6,"38, 210, 215, 306, 330, 515",1,39C177198000109
11,"31, 111, 202, 216, 220, 228, 235, 306, 330, 510, 515",1,14086 000
13,"31, 111, 202, 206, 216, 220, 225, 231, 235, 306, 332, 510, 515",1,01860 130 00476
12,"31, 111, 202, 206, 210, 216, 220, 228, 235, 330, 510, 515",1,11526 000
7,"31, 111, 156, 216, 228, 235, 332",1,23899 000 00037
7,"31, 111, 156, 210, 215, 332, 510",1,20865 000 00000
10,"31, 111, 117, 156, 215, 228, 306, 313, 332, 510",1,531101000000000
12,"31, 111, 206, 210, 216, 217, 220, 235, 306, 330, 510, 515",1,33004 010 00640
7,"31, 111, 206, 215, 216, 220, 235",1,31C42 000
9,"38, 210, 215, 234, 306, 310, 330, 510, 515",1,39C532507001150
8,"31, 111, 206, 215, 220, 235, 304, 332",1,39C512502000725
7,"38, 210, 215, 225, 306, 330, 331",1,09778 885100008
7,"31, 111, 215, 216, 220, 235, 510",1,59C401067500220
9,"31, 111, 210, 215, 235, 306, 330, 510, 515",1,31C41 000
7,"38, 210, 215, 225, 306, 331, 510",1,08704A069 00992
8,"31, 111, 210, 215, 220, 235, 332, 510",1,29C277807 00021
10,"31, 111, 210, 215, 220, 235, 306, 330, 510, 515",1,246105246100012
12,"31, 111, 210, 215, 220, 225, 231, 306, 330, 332, 510, 515",1,35C176073900120
7,"31, 111, 210, 215, 216, 235, 510",1,59C198121700022
9,"38, 210, 215, 226, 306, 310, 330, 510, 515",1,35C133119300120
11,"31, 111, 210, 215, 216, 220, 235, 306, 330, 510, 515",1,14142 452 00634
11,"31, 111, 210, 215, 216, 217, 235, 306, 330, 510, 515",1,65C17 103 00002
8,"31, 111, 206, 217, 235, 330, 510, 515",1,35C218121800970
7,"38, 210, 215, 226, 306, 331, 510",1,08704 069 00992
6,"31, 111, 206, 216, 332, 510",1,31C100611000080
6,"31, 111, 206, 216, 330, 515",1,59C012142500694
7,"31, 111, 206, 216, 330, 510, 515",1,59C326134300045
9,"31, 111, 206, 216, 306, 330, 332, 510, 515",1,10958A061200000
6,"31, 111, 206, 216, 235, 332",1,15C15 500 00030
8,"31, 111, 206, 216, 235, 306, 330, 510",1,35C146098800130
8,"31, 111, 206, 216, 228, 306, 332, 510",1,29C77 651 00063
10,"31, 111, 206, 216, 228, 235, 306, 330, 510, 515",1,08964 014 02723
11,"31, 111, 206, 216, 225, 228, 235, 306, 330, 510, 515",1,12086 60202 562
8,"31, 111, 206, 216, 220, 306, 332, 510",1,29C231941 01486
8,"31, 111, 206, 216, 220, 235, 304, 332",1,39C511502000714
11,"31, 111, 206, 216, 220, 225, 231, 235, 306, 332, 510",1,04681 032 01066
11,"31, 111, 206, 216, 219, 220, 235, 306, 330, 510, 515",1,671405C02902600
4,"31, 111, 206, 216",1,59C164071900087
8,"38, 210, 215, 228, 306, 330, 510, 515",1,09643BE16900103
10,"31, 111, 206, 215, 220, 235, 306, 313, 332, 510",1,29C153790 00008
10,"38, 205, 215, 234, 306, 310, 330, 331, 510, 521",1,21434 200 04043
7,"31, 111, 216, 228, 306, 330, 510",1,25C17 C409 1082
8,"38, 205, 215, 234, 305, 306, 331, 510",1,25B01 000 00136
8,"38, 144, 155, 205, 217, 220, 334, 510",1,02063A002C04157
7,"38, 202, 215, 219, 228, 330, 515",1,11798F000
14,"38, 202, 210, 215, 216, 220, 226, 228, 231, 235, 306, 330, 510, 515",1,00360A164 00698
10,"38, 202, 206, 219, 220, 228, 306, 330, 510, 515",1,14054 081300028
12,"38, 202, 206, 216, 220, 228, 231, 306, 310, 330, 510, 515",1,12780 003400172
10,"38, 202, 206, 215, 220, 235, 306, 330, 510, 515",1,11744F000
9,"38, 202, 205, 216, 220, 228, 306, 331, 510",1,04585 191 01683
8,"38, 202, 205, 215, 234, 306, 331, 510",1,20667 000 00000
7,"38, 205, 215, 225, 234, 306, 331",1,01338A260 01672
13,"38, 155, 215, 225, 226, 234, 302, 306, 310, 331, 510, 515, 521",1,12205B210 00551
11,"38, 155, 205, 210, 215, 220, 306, 311, 312, 330, 515",1,09844 427 00055
11,"38, 152, 210, 215, 220, 306, 310, 330, 332, 510, 515",1,12007A  201 379
6,"38, 144, 215, 306, 331, 510",1,04534 125 01972
8,"38, 144, 204, 215, 220, 234, 306, 331",1,19C469002201332
9,"38, 144, 155, 215, 301, 311, 331, 510, 521",1,00524 292 00664
8,"38, 144, 155, 205, 215, 220, 306, 331",1,29C281797 00575
8,"38, 205, 215, 234, 302, 310, 331, 510",1,18030 001700090
12,"38, 144, 155, 205, 215, 220, 234, 306, 311, 330, 510, 515",1,01869A037 01180
11,"38, 144, 155, 205, 210, 215, 306, 311, 331, 510, 521",1,00498 292 00064
13,"38, 144, 155, 205, 210, 215, 220, 234, 301, 306, 311, 331, 510",1,00839 234 01221
10,"38, 143, 155, 205, 215, 234, 301, 310, 331, 510",1,20198 009 13386
12,"38, 143, 154, 205, 215, 220, 233, 301, 310, 330, 331, 515",1,18960 009 16751
11,"38, 135, 156, 210, 215, 220, 306, 310, 330, 510, 515",1,39C386367000008
10,"38, 120, 152, 162, 215, 311, 313, 330, 510, 515",1,23C571057 00030
9,"38, 205, 215, 226, 234, 306, 330, 515, 521",1,02478C009 23920
11,"38, 120, 152, 162, 215, 220, 311, 313, 330, 510, 515",1,23C701070 00010
14,"38, 120, 152, 162, 210, 215, 225, 306, 310, 311, 313, 330, 510, 515",1,22130 000 00582
11,"38, 120, 152, 162, 205, 215, 306, 313, 330, 510, 515",1,59C356097300259
11,"38, 120, 152, 162, 205, 215, 306, 311, 313, 510, 515",1,00718 006F25345
9,"38, 205, 215, 228, 234, 306, 330, 510, 515",1,11C153001900716
13,"38, 120, 152, 162, 205, 215, 220, 234, 304, 311, 313, 330, 515",1,11883 000
10,"38, 202, 215, 220, 228, 234, 306, 331, 510, 515",1,06122 000
10,"38, 202, 215, 220, 228, 306, 310, 330, 510, 515",1,06262 000 00006
9,"38, 202, 215, 225, 228, 234, 306, 331, 510",1,04588A191 00985
10,"38, 202, 215, 225, 234, 306, 310, 330, 510, 515",1,20049 420 00364
9,"38, 205, 215, 220, 234, 306, 331, 510, 521",1,20423 000 00000
11,"38, 205, 215, 220, 234, 302, 306, 310, 330, 515, 521",1,09643A004 16053
10,"38, 205, 215, 220, 234, 301, 306, 310, 331, 510",1,17434 02W 02844
10,"38, 205, 215, 220, 228, 234, 306, 330, 510, 515",1,11634F000
11,"38, 205, 215, 220, 225, 234, 306, 311, 331, 510, 515",1,07991 971 00003
6,"38, 205, 210, 215, 331, 510",1,08892 042F00218
5,"38, 205, 210, 215, 331",1,01C808101400034
8,"38, 205, 215, 220, 306, 330, 510, 515",1,04075A062T04237
10,"38, 205, 215, 225, 227, 234, 306, 310, 331, 510",1,20329 021 00159
11,"38, 205, 215, 225, 228, 234, 306, 310, 331, 510, 515",1,06713 009 02870
10,"38, 205, 210, 215, 234, 301, 306, 310, 331, 510",1,07028B000000032
11,"38, 205, 210, 215, 225, 231, 306, 310, 330, 510, 515",1,45C226084600907
9,"38, 205, 215, 225, 228, 234, 306, 331, 510",1,07480 009 06225
10,"38, 205, 210, 215, 220, 234, 306, 330, 510, 515",1,11742 010 00620
11,"38, 205, 206, 215, 216, 220, 228, 306, 330, 510, 515",1,15C009059500070
8,"38, 204, 215, 234, 306, 330, 510, 515",1,41C13 54401 025
8,"38, 205, 215, 225, 234, 301, 331, 510",1,07594A001 15928
9,"38, 204, 215, 220, 234, 306, 310, 330, 515",1,41C06   7010001
9,"38, 205, 215, 225, 234, 306, 310, 331, 510",1,17C550E15600190
12,"38, 204, 215, 220, 225, 226, 234, 306, 310, 330, 510, 515",1,39C543513000731
7,"38, 202, 219, 310, 330, 510, 515",1,22163 000 00000
10,"38, 202, 219, 225, 231, 306, 310, 330, 510, 515",1,39C155188100042
8,"38, 205, 215, 225, 234, 306, 330, 515",1,016682002300662
8,"38, 202, 216, 228, 306, 330, 510, 515",1,03606 049 00025
9,"38, 202, 216, 219, 228, 306, 310, 331, 510",1,12260 000200306
8,"38, 202, 215, 306, 310, 330, 510, 515",1,17930 00059C531
8,"38, 202, 215, 302, 306, 330, 331, 515",1,25128B0025B128B
8,"38, 202, 215, 234, 306, 330, 510, 515",1,16319 005 12572
9,"38, 202, 215, 228, 231, 306, 330, 510, 515",1,11727 000
17,"38, 120, 152, 162, 202, 205, 215, 226, 231, 234, 306, 310, 311, 313, 330, 510, 515",1,01945A456 05297
9,"38, 116, 155, 205, 215, 234, 306, 310, 331",1,09059 123 01243
11,"38, 116, 144, 155, 205, 215, 234, 306, 311, 331, 510",1,01319 046 00650
12,"38, 54, 202, 215, 216, 220, 228, 235, 306, 331, 332, 510",1,47C25 085 00000
8,"31, 117, 216, 228, 235, 306, 332, 510",1,05387 026 00000
8,"31, 117, 135, 156, 215, 220, 235, 304",1,39C650
10,"31, 117, 120, 152, 162, 219, 311, 313, 332, 515",1,45C405058900274
10,"31, 117, 120, 152, 162, 215, 311, 313, 330, 515",1,59C421062100005
13,"31, 117, 120, 152, 162, 215, 235, 306, 311, 313, 330, 510, 515",1,0M342 001F04241
10,"31, 117, 120, 152, 162, 215, 220, 313, 510, 515",1,59C662147700006
12,"31, 117, 120, 152, 162, 215, 216, 306, 310, 330, 510, 515",1,31C53 739
11,"31, 117, 120, 152, 162, 205, 219, 311, 330, 510, 515",1,61C42 081 00010
9,"38, 205, 215, 234, 301, 310, 331, 510, 521",1,21087 001 12169
11,"31, 117, 120, 152, 161, 202, 219, 311, 313, 332, 515",1,45C609079300996
7,"31, 113, 120, 152, 219, 330, 515",1,17M001000000000
12,"31, 113, 120, 152, 162, 215, 306, 311, 313, 330, 510, 515",1,14160 000 00100
7,"31, 111, 228, 235, 306, 332, 510",1,25E08 C30601040
9,"31, 111, 219, 228, 235, 306, 330, 510, 515",1,06143 000 00131
6,"38, 205, 215, 234, 301, 330",1,11070A000 00001
9,"31, 111, 219, 225, 306, 310, 332, 510, 515",1,10673B341 00003
6,"31, 111, 219, 225, 231, 332",1,07C07 130400020
